JPEG_file,JPEG_path,TIFF_file,TIFF_path,hamming_distance,ssim_score,used_ssim,match_quality
L7_c47d415ae4784b7a477d66981466f80c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_c47d415ae4784b7a477d66981466f80c.jpg,Neurons_AGi_13072015_PdAu_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/15-08-21/Neurons_AGi_13072015_PdAu_07.tif,2,0.9994753731992282,True,excellent
L7_142284f062fe40ed44779335fff834ad.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_142284f062fe40ed44779335fff834ad.jpg,SpinalsOnCNTs_23-10-12_70.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/12-11-05/SpinalsOnCNTs_23-10-12_70.tif,6,0.9979179230123273,True,excellent
L7_2a42db2a7317b604540c15f6ea0a8497.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_2a42db2a7317b604540c15f6ea0a8497.jpg,SpinalsOnCNTs_23-10-12_63.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/12-11-05/SpinalsOnCNTs_23-10-12_63.tif,4,0.9988181007772302,True,excellent
L7_f687c0bbd5968feb1eb1d8352a0b4051.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_f687c0bbd5968feb1eb1d8352a0b4051.jpg,A66_8DIV_11_03_25_GLASS_42.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/11-04-05/A66_8DIV_11_03_25_GLASS_42.tif,406,,False,no_match
L7_f81ea2d5a8df3d82a3b06f6c32e04797.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_f81ea2d5a8df3d82a3b06f6c32e04797.jpg,Spinals_on_MWNT_09.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/12-07-27/Spinals_on_MWNT_09.tif,4,0.9988484000001243,True,excellent
L7_e22a0d0dd808d7b2a0bfd8eaca93035d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_e22a0d0dd808d7b2a0bfd8eaca93035d.jpg,Spinals_on_MWNT_11.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/12-07-27/Spinals_on_MWNT_11.tif,2,0.9990932935211426,True,excellent
L7_0435cf55d2ef9bee026e865a2022e55f.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_0435cf55d2ef9bee026e865a2022e55f.jpg,A66_8DIV_CNT_12.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/11-03-24/A66_8DIV_CNT_12.tif,8,0.9988292266387903,True,excellent
L7_a66539c2c24ed621276574b58410423a.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_a66539c2c24ed621276574b58410423a.jpg,A30_8DIV_CNT_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/11-03-22/A30_8DIV_CNT_03.tif,4,0.9988757182257398,True,excellent
L7_9a78d8605be75f975f4a772b1189fbb6.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_9a78d8605be75f975f4a772b1189fbb6.jpg,Spinals_on_MWNT_41.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/12-07-27/Spinals_on_MWNT_41.tif,2,0.9990709764989193,True,excellent
L7_3f69ab7da2db7838325cb98fc9948b63.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_3f69ab7da2db7838325cb98fc9948b63.jpg,Neurons-on-SL-GR-23.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/15-12-29/Neurons-on-SL-GR-23.tif,4,0.9994130083630028,True,excellent
